So_gio_hoc_tuan,So_mon_hoc,Thoi_gian_ngu,Social_media_time,Part_time,Tham_gia_CLB,Attendance_percent,Hoc_nhom,GPA
30,11,6,12,0,0,75,0,3.3
40,10,67,12,1,0,100,0,3.5
50,8,67,23,1,1,100,0,3.6
45,7,78,12,0,1,100,1,3.6
50,7,6,12,1,0,100,0,3.8
2,7,6,3,0,1,100,0,3.5
1,10,67,3,0,0,100,0,3.6
10,7,6,12,0,1,100,0,3.7
60,6,6,12,0,1,100,0,3.6
1,1,78,3,0,1,100,0,2.9
1,1,78,3,0,1,100,0,3.1
1,1,78,3,0,1,100,0,2.6
1,1,78,3,0,1,100,0,2.7
1,1,78,3,0,1,100,0,2.85
1,1,78,3,0,1,100,0,3.15
1,1,78,3,0,1,100,0,3.05
1,1,78,3,0,1,100,0,2.76
14,5,78,12,0,0,100,0,3.5
10,4,67,23,0,0,100,0,3.47
8,4,67,23,0,0,100,0,3.71
6,4,67,1,1,0,75,0,3.34
16,5,78,1,0,1,100,0,3.92
80,20,6,12,1,1,100,0,3.96
45,15,78,3,1,0,100,0,3.67
10,11,8,3,0,1,100,0,3.6
25,5,8,3,0,1,100,0,3.56
16,1,8,3,0,1,100,0,3.05
20,6,8,3,0,0,100,0,3.2
12,7,78,3,1,0,75,0,3
19,8,8,3,0,1,50,0,3.5
9,6,78,3,1,0,75,0,3.3
6,3,8,3,1,1,100,0,3.6
15,10,78,3,0,0,100,0,3.8
6,7,8,3,0,1,75,0,3.4
24,3,67,23,0,0,75,0,3.5
20,6,8,3,1,1,75,0,3
2,7,78,12,1,1,100,1,3
1,5,8,23,1,0,75,0,3.3
6,4,78,12,0,0,100,1,2.3
53,9,78,23,0,0,100,0,3.9
90,10,67,12,1,0,25,0,2.8
60,6,6,12,0,0,100,0,3.8
57,8,67,23,0,1,75,0,3.5
40,5,78,23,1,0,100,0,3.2
50,7,78,23,0,1,100,0,3.45
55,6,78,12,0,1,100,0,3.8
32,6,78,1,1,1,75,1,2.9
30,4,8,3,1,0,75,0,3.4
70,5,8,12,1,1,50,1,2.8
87,5,8,3,1,1,100,1,2.7
69,4,8,3,1,1,100,0,3.8
45,5,78,3,0,0,100,0,4
60,8,6,1,0,1,100,0,3.6
50,2,8,12,1,1,100,0,2
87,9,78,23,1,0,100,0,3.8
128,4,8,23,0,0,100,0,2.9
40,4,8,3,0,0,100,0,3.8
30,4,8,3,1,0,75,0,3.2
48,8,67,23,1,0,100,0,3.5
50,7,8,23,0,0,100,0,3.7
70,7,78,23,0,1,100,0,3.7
54,6,67,23,0,0,100,0,4
40,9,8,3,1,1,100,0,3.7
122,6,8,3,1,1,75,0,3.7
58,9,8,3,1,0,100,0,3
28,4,8,3,1,1,50,0,3.3
36,9,8,23,1,0,100,0,3.7
80,9,8,23,1,1,100,0,2
80,4,8,1,1,0,25,0,3.4
70,4,8,3,0,0,100,0,3.91
35,5,78,23,0,0,100,0,3.7
90,2,8,1,1,1,100,1,2
78,5,8,12,1,1,50,0,2.9
36,7,67,23,1,0,100,0,3.5
94,6,8,3,1,1,100,0,3.3
75,3,8,3,0,0,100,1,3.8
62,8,6,23,0,0,100,0,3.9
99,3,8,23,1,0,75,1,1.8
158,8,8,3,1,1,100,0,2.96
52,7,67,1,0,0,100,0,3.6
34,7,78,3,1,1,75,0,3.2
30,8,78,3,1,1,75,0,3.4
78,3,8,23,1,1,100,0,2.4
57,2,8,23,1,1,100,0,2.1
45,6,67,12,0,1,100,0,3.7
69,4,8,3,1,1,75,0,3.7
30,3,8,3,1,1,100,0,2.8
58,3,8,1,1,1,100,0,3.1
43,6,67,23,0,1,100,0,3.7
38,8,8,3,1,1,100,0,2.3
42,6,78,23,0,1,100,0,3.5
67,7,6,12,0,0,100,0,4
54,5,78,3,0,1,100,0,3.9
48,6,6,23,1,1,75,0,3.6
35,5,8,3,0,0,50,0,3
48,7,78,12,0,1,100,0,3.8
42,4,8,1,1,1,100,0,2.9
50,5,67,23,0,0,100,0,4
53,7,8,3,1,1,100,0,3.1
31,3,8,23,1,0,100,1,3.4
25,6,78,3,0,0,100,0,3.68
28,6,78,12,1,0,75,0,2.9
46,2,8,3,1,0,75,1,3.5
10,6,8,23,0,0,100,0,3.85
30,4,78,3,0,1,100,0,3.2
100,6,6,12,0,0,100,0,3.7
34,5,67,3,1,0,100,0,3
23,7,8,12,1,1,100,0,3
20,3,78,3,0,0,100,1,2.9
79,4,8,3,1,1,100,1,3.4
24,3,78,23,0,1,75,0,3.3
30,5,78,12,1,0,100,1,3.7
72,8,78,12,0,1,100,0,3.7
2,3,8,3,0,1,75,0,3
23,3,8,23,1,0,100,0,3.1
63,7,67,1,0,0,100,0,3.7
70,3,8,23,1,1,100,0,3.8
5,6,78,3,0,0,100,0,2.98
43,6,67,23,0,0,100,0,3.5
64,3,8,3,1,1,100,0,3.5
1112,4,8,3,1,1,75,0,2.8
50,6,78,23,1,0,100,0,3.9
55,6,8,23,0,0,100,0,3.5
65,7,67,12,0,0,100,0,3.8
56,20,6,12,0,0,75,0,3.46
57,6,8,12,0,0,100,0,4
50,8,78,3,0,1,75,0,3.5
65,8,6,23,0,1,75,0,3.8
25,7,8,3,1,1,75,0,3.6
30,14,8,3,1,0,100,0,3.2
36,6,6,3,1,0,75,0,3.3
64,8,67,3,0,1,100,0,4
57,8,67,23,0,0,100,0,3.8
56,3,8,12,1,1,100,0,3.4
68,7,6,1,0,0,100,0,4
50,5,6,23,0,0,100,0,3.74
34,6,8,3,0,0,75,0,3.4
53,8,78,23,1,0,75,0,3.6
55,6,78,23,1,0,100,0,4
53,8,67,12,0,0,75,0,3.5
64,6,6,23,1,1,75,0,4
53,8,78,1,0,0,100,0,3.4
34,6,67,23,0,0,100,0,3.6
47,4,8,3,0,1,100,0,3.7
35,3,8,12,1,1,100,0,2.8
47,7,6,12,0,1,75,0,3.2
65,4,78,23,0,1,100,0,3.9
38,4,78,23,1,1,100,0,3.6
38,5,8,23,0,1,100,0,3.3
78,6,8,3,1,1,100,0,2.7
52,5,8,12,1,1,75,0,2.1
102,9,8,3,1,1,100,1,3.7
36,3,78,23,1,0,100,0,3.4
55,7,8,3,0,1,100,0,2.8
36,5,8,3,1,0,75,0,3.4
68,7,6,3,0,1,50,0,3
60,10,67,3,1,1,75,0,3
43,5,78,23,0,1,100,0,3.7
60,8,8,3,1,1,50,0,3.4
43,8,78,3,1,1,75,0,3.4
54,7,8,23,1,0,100,1,3.5
68,7,8,3,0,0,50,1,3
79,8,78,3,1,1,100,1,3.6
56,8,8,12,1,0,50,0,2.6
37,6,67,3,1,1,100,0,3.7
89,8,67,23,1,0,50,0,3
30,4,8,23,1,1,25,0,2.5
53,5,78,12,0,1,100,1,3.7
78,8,8,3,1,0,100,0,3.2
23,6,8,3,0,1,100,0,3.5
66,8,6,1,0,0,100,0,3.5
90,5,6,1,1,1,100,0,2.9
68,7,8,23,1,0,25,1,3
65,7,67,12,0,1,100,0,4
53,2,8,23,1,1,100,0,3.1
78,6,67,23,0,0,75,0,3.2
32,4,8,12,1,0,100,1,2.8
59,3,8,3,1,0,100,0,2
26,7,8,3,1,0,50,0,2.8
40,5,78,23,1,0,100,0,2.8
46,6,8,3,1,0,100,0,3.8
45,6,78,12,0,0,100,0,3.2
50,7,78,3,0,1,100,0,3
45,6,67,23,0,1,75,0,2.9
68,7,8,3,0,0,50,1,3
39,4,8,3,0,1,100,1,2.8
50,6,78,3,0,1,100,0,3.3
79,4,8,3,1,1,100,0,3.6
43,6,8,3,1,0,100,0,3.9
68,32,8,3,1,0,100,0,3.2
37,8,8,3,1,0,100,0,3.6
45,9,8,3,1,0,100,0,3.4
40,6,8,12,1,1,100,0,2.5
37,10,78,3,0,1,100,0,3.5
70,8,8,23,0,1,100,1,2.9
30,6,8,12,1,0,75,0,3.5
79,8,8,23,0,1,50,1,3.43
31,3,8,23,1,0,50,0,2.78
67,6,8,1,1,1,100,0,3.96
126,7,6,1,1,1,100,0,3.6
53,7,8,12,1,1,75,1,3
34,6,8,3,1,0,100,0,3.6
52,6,8,3,1,0,100,1,1.5
74,4,8,3,1,1,100,1,2.8
46,7,8,3,0,1,75,0,3.5
63,4,67,12,0,0,100,0,3.6
64,3,8,3,1,0,100,0,3.4
60,9,67,3,1,1,100,0,3.7
28,7,8,23,1,1,100,1,3.16
30,6,8,23,1,1,100,1,3.36
56,8,8,3,0,1,75,0,3.5
85,8,8,3,0,1,100,1,2.6
59,4,8,3,0,0,100,0,2.6
26,5,8,3,0,1,75,0,3.4
41,6,8,23,1,1,100,1,3.2
27,9,8,3,1,1,100,0,3.4
61,30,78,12,1,1,75,1,2.1
57,9,8,3,1,1,100,1,3.7
61,7,8,3,1,1,100,0,3.5
46,7,8,23,1,1,100,0,3.3
84,9,8,3,1,1,100,1,3
77,5,8,3,1,0,100,1,3
49,7,8,3,1,1,75,1,3.27
61,4,8,23,1,1,100,1,3.7
39,6,67,3,1,1,100,0,3.4
32,3.65,8,3,0,0,100,1,3.87
64,8,8,3,1,1,100,0,3.91
62,5,8,3,0,1,75,0,3.7
51,7,8,3,0,0,100,1,2.9
35,6,8,3,0,1,100,0,3.6
25,5,8,23,1,0,100,0,3.45
59,4,8,3,1,1,100,1,2.78
24,6,8,3,0,1,100,0,3.4
37,4,8,23,1,1,75,1,3.5
74,8,8,3,0,0,100,0,3.61
