Dấu thời gian,"Mỗi tuần, bạn thường dành ra bao nhiêu giờ để học? - Chỉ ghi số",Hiện tại bạn đang học bao nhiêu môn? - Chỉ ghi số,"Mỗi ngày, bạn thường ngủ bao nhiêu giờ?","Mỗi ngày, bạn thường sử dụng mạng xã hội bao lâu?",Bạn có đang làm thêm không?,Bạn có đang tham gia bất kỳ CLB nào không?,Phần trăm tham gia các buổi học trên trường của bạn khoảng bao nhiêu?,Bạn hay thường học theo cách nào?,GPA hiện tại của bạn là bao nhiêu? (Theo thang 4.0)
5/8/2026 13:46:07,30,11,< 6 giờ,1-2 giờ,Không,Không,75%,Tự học,3.3
5/8/2026 13:46:49,40,10,6-7 giờ,1-2 giờ,Có,Không,100%,Cả hai,3.5
5/8/2026 13:47:28,50,8,6-7 giờ,2-3 giờ,Có,Có,100%,Cả hai,3.6
5/8/2026 13:48:27,45,7,7-8 giờ,1-2 giờ,Không,Có,100%,Học nhóm,3.6
5/8/2026 13:49:06,50,7,< 6 giờ,1-2 giờ,Có,Không,100%,Cả hai,3.8
5/8/2026 14:59:38,2,7,< 6 giờ,> 3 giờ,Không,Có,100%,Cả hai,3.5
5/8/2026 15:04:50,1 phút trong tâm trí,10,6-7 giờ,> 3 giờ,Không,Không,100%,Cả hai,3.6
5/8/2026 15:23:28,10,7,< 6 giờ,1-2 giờ,Không,Có,100%,Tự học,3.7
5/8/2026 15:25:50,60,6,< 6 giờ,1-2 giờ,Không,Có,100%,Cả hai,3.6
5/8/2026 17:14:54,1,1,7-8 giờ,> 3 giờ,Không,Có,100%,Tự học,0
5/8/2026 17:15:51,1,1,7-8 giờ,> 3 giờ,Không,Có,100%,Tự học,0
5/8/2026 17:16:09,1,1,7-8 giờ,> 3 giờ,Không,Có,100%,Tự học,0
5/8/2026 17:17:06,1,1,7-8 giờ,> 3 giờ,Không,Có,100%,Tự học,0
5/8/2026 17:17:26,1,1,7-8 giờ,> 3 giờ,Không,Có,100%,Tự học,0
5/8/2026 17:17:43,1,1,7-8 giờ,> 3 giờ,Không,Có,100%,Tự học,0
5/8/2026 17:18:01,1,1,7-8 giờ,> 3 giờ,Không,Có,100%,Tự học,0
5/8/2026 17:18:27,1,1,7-8 giờ,> 3 giờ,Không,Có,100%,Tự học,0
5/9/2026 12:27:18,14,5,7-8 giờ,1-2 giờ,Không,Không,100%,Cả hai,3.5
5/9/2026 12:28:06,10,4,6-7 giờ,2-3 giờ,Không,Không,100%,Tự học,3.47
5/9/2026 13:06:00,8,4,6-7 giờ,2-3 giờ,Không,Không,100%,Tự học,3.71
5/9/2026 13:06:51,6,4,6-7 giờ,< 1 giờ,Có,Không,75%,Tự học,3.34
5/9/2026 13:07:46,16,5,7-8 giờ,< 1 giờ,Không,Có,100%,Cả hai,3.92
5/9/2026 22:03:23,80,20,< 6 giờ,1-2 giờ,Có,Có,100%,Cả hai,3.96
5/9/2026 22:03:53,45,15,7-8 giờ,> 3 giờ,Có,Không,100%,Cả hai,3.67
5/9/2026 22:04:04,10,11,> 8 giờ,> 3 giờ,Không,Có,100%,Cả hai,3.6
5/9/2026 22:05:00,25,5,> 8 giờ,> 3 giờ,Không,Có,100%,Tự học,3.56
5/9/2026 22:05:35,16,1,> 8 giờ,> 3 giờ,Không,Có,100%,Cả hai,3.05
5/9/2026 22:06:04,20,6,> 8 giờ,> 3 giờ,Không,Không,100%,Cả hai,3.2
5/9/2026 22:07:15,12,7,7-8 giờ,> 3 giờ,Có,Không,75%,Tự học,3.0
5/9/2026 22:12:31,19,8,> 8 giờ,> 3 giờ,Không,Có,50%,Cả hai,3.5
5/9/2026 22:22:54,9,6,7-8 giờ,> 3 giờ,Có,Không,75%,Cả hai,3.3
5/9/2026 22:23:39,6,3,> 8 giờ,> 3 giờ,Có,Có,100%,Cả hai,3.6
5/9/2026 22:24:08,15,10,7-8 giờ,> 3 giờ,Không,Không,100%,Cả hai,3.8
